index,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
3,CA02,140105686,SYSC llc,2020-05-16 12:46:12.500000000,2020,2960623488,2020-03-30,2020-04-10,2020-03-31,CA10,2309.7899999999995,31-45
7,U001,200744019,TARG us,2020-03-27 08:55:41.437500000,2020,1930659387,2020-03-19,2020-04-03,2020-03-19,NAA8,11173.02,Before Due Date
10,U001,200418007,AM ,2020-04-08 22:54:37.000000000,2020,1930610806,2020-11-03,2020-03-26,2020-03-11,NAA8,3525.59,0-15
14,U001,200739534,OK systems,2020-04-16 06:02:28.125000000,2020,1930788296,2020-04-15,2020-04-30,2020-04-15,NAA8,121105.65,Before Due Date
15,U001,200353024,DECA corporation,2020-03-28 17:54:37.000000000,2020,1930817482,2020-04-23,2020-04-26,2020-04-16,NAM2,3726.06,Before Due Date
22,U001,200744019,TARG associates,2020-04-05 23:56:59.945312500,2020,1930676042,2020-03-21,2020-04-05,2020-03-21,NAA8,5893.01,0-15
27,U001,200337148,COAS llc,2020-04-07 10:29:06.125000000,2020,1930592246,2020-02-03,2020-03-17,2020-03-02,NAA8,11380.83,16-30
35,U001,200794332,COST associates,2020-05-05 01:01:43.750000000,2020,1930731070,2020-07-04,2020-04-22,2020-04-07,NAAX,3863.93,0-15
37,U001,200794332,COST llc,2020-05-09 17:43:48.156250000,2020,1930803605,2020-04-23,2020-05-08,2020-04-23,NAAX,74453.01,0-15
45,U001,200803720,DEC corp,2020-02-16 23:33:11.500000000,2020,1930698352,2020-03-25,2020-04-08,2020-03-16,NAM4,138.6,Before Due Date
51,U001,200794332,COST co,2020-03-28 03:54:47.577148438,2020,1930647189,2020-03-13,2020-03-28,2020-03-13,NAAX,32715.47,0-15
52,U001,200020431,DEC us,2020-05-02 12:49:24.625000000,2020,1930861637,2020-06-05,2020-05-24,2020-05-01,NAM4,174.72,Before Due Date
57,U001,200769623,WAL-MAR associates,2020-04-08 23:15:10.625000000,2020,1930635649,2020-12-03,2020-03-27,2020-03-12,NAH4,767.78,0-15
70,CA02,140105785,SHOPPE foundation,2020-06-05 22:58:55.000000000,2020,2960624627,2020-03-27,2020-04-10,2020-03-31,CA10,1980.7199999999998,46-60
76,U001,200769623,WAL-MAR ,2020-03-12 01:59:55.078125000,2020,1930577078,2020-02-28,2020-03-14,2020-02-28,NAH4,14514.68,Before Due Date
77,U001,200769623,WAL-MAR foundation,2020-05-06 11:51:33.687500000,2020,1930774741,2020-10-04,2020-04-25,2020-04-10,NAH4,55400.31,0-15
79,U001,200772670,ASSOCIAT corporation,2020-04-12 00:02:50.750000000,2020,1930765053,2020-09-04,2020-04-24,2020-04-09,NAU5,174766.36,Before Due Date
83,U001,200900909,SYSCO systems,2020-04-13 20:50:23.824218750,2020,1930645969,2020-03-13,2020-04-14,2020-03-13,NA32,31512.75,Before Due Date
84,U001,200769623,WAL-MAR systems,2020-04-11 04:46:42.250000000,2020,1930718081,2020-03-30,2020-04-14,2020-03-30,NAH4,19701.55,Before Due Date
88,U001,200726979,BJ'S  trust,2020-03-26 08:03:11.250000000,2020,1930788667,2020-04-16,2020-05-01,2020-04-16,NAA8,132.72,Before Due Date
94,U001,200769623,WAL-MAR llc,2020-04-04 10:05:18.562500000,2020,1930709919,2020-03-29,2020-04-13,2020-03-29,NAH4,1121.15,Before Due Date
95,U001,200769623,WAL-MAR llc,2020-04-27 19:50:47.187500000,2020,1930752568,2020-06-04,2020-04-21,2020-04-06,NAH4,11394.84,0-15
102,CA02,140105847,GORDON F co,2020-04-18 02:57:55.866210938,2020,2960627274,2020-08-04,2020-04-18,2020-04-08,CA10,2579.64,0-15
110,U001,200744019,TARG foundation,2020-03-23 01:35:19.812500000,2020,1930648342,2020-03-15,2020-03-30,2020-03-15,NAA8,52123.3,Before Due Date
112,U001,200769623,WAL-MAR systems,2020-04-06 14:25:08.625000000,2020,1930632791,2020-10-03,2020-03-25,2020-03-10,NAH4,14994.01,0-15
113,U001,200769623,WAL-MAR llc,2020-03-14 21:02:39.687500000,2020,1930617194,2020-06-03,2020-03-21,2020-03-06,NAH4,36.06,Before Due Date
131,U001,200418007,AM in,2020-06-01 13:47:07.500000000,2020,1930752243,2020-06-04,2020-04-21,2020-04-06,NAA8,25836.19,31-45
135,U001,200739006,AL foundation,2020-06-21 22:29:14.000000000,2020,1930768064,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,46-60
